nohup: ignoring input
range(0, 160)
Now: j= 29, i=166 | Poisson
Now: j= 29, i=167 | Poisson
Now: j= 29, i=168 | Poisson
Now: j= 29, i=169 | Poisson
Now: j= 29, i=170 | Poisson
Now: j= 29, i=171 | Poisson
Now: j= 29, i=172 | Poisson
Now: j= 29, i=173 | Poisson
Now: j= 29, i=174 | Poisson
Now: j= 29, i=202 | Poisson
Now: j= 29, i=203 | Poisson
Now: j= 30, i=117 | Poisson
Now: j= 30, i=118 | Poisson
Now: j= 30, i=119 | Poisson
Now: j= 30, i=120 | Poisson
Now: j= 30, i=121 | Poisson
Now: j= 30, i=122 | Poisson
Now: j= 30, i=123 | Poisson
Now: j= 30, i=124 | Poisson
Now: j= 30, i=125 | Poisson
Now: j= 30, i=126 | Poisson
Now: j= 30, i=127 | Poisson
Now: j= 30, i=128 | Poisson
Now: j= 30, i=129 | Poisson
Now: j= 30, i=131 | Poisson
Now: j= 30, i=132 | Poisson
Now: j= 30, i=135 | Poisson
Now: j= 30, i=147 | Poisson
Now: j= 30, i=148 | Poisson
Now: j= 30, i=149 | Poisson
Now: j= 30, i=150 | Poisson
Now: j= 30, i=151 | Poisson
Now: j= 30, i=152 | Poisson
Now: j= 30, i=153 | Poisson
Now: j= 30, i=154 | Poisson
Now: j= 30, i=155 | Poisson
Now: j= 30, i=156 | Poisson
Now: j= 30, i=157 | Poisson
Now: j= 30, i=158 | Poisson
Now: j= 30, i=159 | Poisson
Now: j= 30, i=160 | Poisson
Now: j= 30, i=161 | Poisson
Now: j= 30, i=162 | Poisson
Now: j= 30, i=163 | Poisson
Now: j= 30, i=164 | Poisson
Now: j= 30, i=165 | Poisson
Now: j= 30, i=166 | Poisson
Now: j= 30, i=167 | Poisson
Now: j= 30, i=168 | Poisson
Now: j= 30, i=169 | Poisson
Now: j= 30, i=170 | Poisson
Now: j= 30, i=171 | Poisson
Now: j= 30, i=172 | Poisson
Now: j= 30, i=173 | Poisson
Now: j= 30, i=174 | Poisson
Now: j= 30, i=175 | Poisson
Now: j= 30, i=176 | Poisson
Now: j= 30, i=177 | Poisson
Now: j= 30, i=179 | Poisson
Now: j= 30, i=201 | Poisson
Now: j= 30, i=202 | Poisson
Now: j= 30, i=203 | Poisson
Now: j= 31, i=118 | Poisson
Now: j= 31, i=119 | Poisson
Now: j= 31, i=120 | Poisson
Now: j= 31, i=121 | Poisson
Now: j= 31, i=122 | Poisson
Now: j= 31, i=123 | Poisson
Now: j= 31, i=124 | Poisson
Now: j= 31, i=125 | Poisson
Now: j= 31, i=126 | Poisson
Now: j= 31, i=127 | Poisson
Now: j= 31, i=128 | Poisson
Now: j= 31, i=129 | Poisson
Now: j= 31, i=130 | Poisson
Now: j= 31, i=131 | Poisson
Now: j= 31, i=132 | Poisson
Now: j= 31, i=133 | Poisson
Now: j= 31, i=134 | Poisson
Now: j= 31, i=135 | Poisson
Now: j= 31, i=136 | Poisson
Now: j= 31, i=137 | Poisson
Now: j= 31, i=138 | Poisson
Now: j= 31, i=147 | Poisson
Now: j= 31, i=148 | Poisson
Now: j= 31, i=149 | Poisson
Now: j= 31, i=150 | Poisson
Now: j= 31, i=151 | Poisson
Now: j= 31, i=152 | Poisson
Now: j= 31, i=153 | Poisson
Now: j= 31, i=154 | Poisson
Now: j= 31, i=155 | Poisson
Now: j= 31, i=156 | Poisson
Now: j= 31, i=157 | Poisson
Now: j= 31, i=158 | Poisson
Now: j= 31, i=159 | Poisson
Now: j= 31, i=160 | Poisson
Now: j= 31, i=161 | Poisson
Now: j= 31, i=162 | Poisson
Now: j= 31, i=163 | Poisson
Now: j= 31, i=164 | Poisson
Now: j= 31, i=165 | Poisson
Now: j= 31, i=166 | Poisson
Now: j= 31, i=167 | Poisson
Now: j= 31, i=168 | Poisson
Now: j= 31, i=169 | Poisson
Now: j= 31, i=170 | Poisson
Now: j= 31, i=171 | Poisson
Now: j= 31, i=172 | Poisson
Now: j= 31, i=173 | Poisson
Now: j= 31, i=174 | Poisson
Now: j= 31, i=175 | Poisson
Now: j= 31, i=176 | Poisson
Now: j= 31, i=177 | Poisson
Now: j= 31, i=178 | Poisson
Now: j= 31, i=179 | Poisson
Now: j= 31, i=180 | Poisson
Now: j= 31, i=181 | Poisson
Now: j= 31, i=182 | Poisson
Now: j= 31, i=183 | Poisson
Now: j= 31, i=184 | Poisson
Now: j= 31, i=201 | Poisson
Now: j= 31, i=202 | Poisson
Now: j= 31, i=203 | Poisson
Now: j= 31, i=204 | Poisson
Now: j= 32, i=116 | Poisson
Now: j= 32, i=117 | Poisson
Now: j= 32, i=118 | Poisson
Now: j= 32, i=119 | Poisson
Now: j= 32, i=120 | Poisson
Now: j= 32, i=121 | Poisson
Now: j= 32, i=122 | Poisson
Now: j= 32, i=123 | Poisson
Now: j= 32, i=124 | Poisson
Now: j= 32, i=125 | Poisson
Now: j= 32, i=126 | Poisson
Now: j= 32, i=127 | Poisson
Now: j= 32, i=128 | Poisson
Now: j= 32, i=129 | Poisson
Now: j= 32, i=130 | Poisson
Now: j= 32, i=131 | Poisson
Now: j= 32, i=132 | Poisson
Now: j= 32, i=133 | Poisson
Now: j= 32, i=134 | Poisson
Now: j= 32, i=135 | Poisson
Now: j= 32, i=136 | Poisson
Now: j= 32, i=137 | Poisson
Now: j= 32, i=138 | Poisson
Now: j= 32, i=142 | Poisson
Now: j= 32, i=143 | Poisson
Now: j= 32, i=144 | Poisson
Now: j= 32, i=145 | Poisson
Now: j= 32, i=146 | Poisson
Now: j= 32, i=147 | Poisson
Now: j= 32, i=148 | Poisson
Now: j= 32, i=149 | Poisson
Now: j= 32, i=150 | Poisson
Now: j= 32, i=151 | Poisson
Now: j= 32, i=152 | Poisson
Now: j= 32, i=153 | Poisson
Now: j= 32, i=154 | Poisson
Now: j= 32, i=155 | Poisson
Now: j= 32, i=156 | Poisson
Now: j= 32, i=157 | Poisson
Now: j= 32, i=158 | Poisson
Now: j= 32, i=159 | Poisson
Now: j= 32, i=160 | Poisson
Now: j= 32, i=161 | Poisson
Now: j= 32, i=162 | Poisson
Now: j= 32, i=163 | Poisson
Now: j= 32, i=164 | Poisson
Now: j= 32, i=165 | Poisson
Now: j= 32, i=166 | Poisson
Now: j= 32, i=167 | Poisson
Now: j= 32, i=168 | Poisson
Now: j= 32, i=169 | Poisson
Now: j= 32, i=170 | Poisson
Now: j= 32, i=171 | Poisson
Now: j= 32, i=172 | Poisson
Now: j= 32, i=173 | Poisson
Now: j= 32, i=174 | Poisson
Now: j= 32, i=175 | Poisson
Now: j= 32, i=176 | Poisson
Now: j= 32, i=177 | Poisson
Now: j= 32, i=178 | Poisson
Now: j= 32, i=179 | Poisson
Now: j= 32, i=180 | Poisson
Now: j= 32, i=181 | Poisson
Now: j= 32, i=182 | Poisson
Now: j= 32, i=183 | Poisson
Now: j= 32, i=184 | Poisson
Now: j= 32, i=185 | Poisson
Now: j= 32, i=200 | Poisson
Now: j= 32, i=201 | Poisson
Now: j= 32, i=202 | Poisson
Now: j= 32, i=203 | Poisson
Now: j= 32, i=204 | Poisson
Now: j= 32, i=205 | Poisson
Now: j= 33, i=116 | Poisson
Now: j= 33, i=117 | Poisson
Now: j= 33, i=118 | Poisson
Now: j= 33, i=119 | Poisson
Now: j= 33, i=120 | Poisson
Now: j= 33, i=121 | Poisson
Now: j= 33, i=122 | Poisson
Now: j= 33, i=123 | Poisson
Now: j= 33, i=124 | Poisson
Now: j= 33, i=125 | Poisson
Now: j= 33, i=126 | Poisson
Now: j= 33, i=127 | Poisson
Now: j= 33, i=128 | Poisson
Now: j= 33, i=129 | Poisson
Now: j= 33, i=130 | Poisson
Now: j= 33, i=131 | Poisson
Now: j= 33, i=132 | Poisson
Now: j= 33, i=133 | Poisson
Now: j= 33, i=134 | Poisson
Now: j= 33, i=135 | Poisson
Now: j= 33, i=136 | Poisson
Now: j= 33, i=137 | Poisson
Now: j= 33, i=138 | Poisson
Now: j= 33, i=139 | Poisson
Now: j= 33, i=140 | Poisson
Now: j= 33, i=141 | Poisson
Now: j= 33, i=142 | Poisson
Now: j= 33, i=143 | Poisson
Now: j= 33, i=144 | Poisson
Now: j= 33, i=145 | Poisson
Now: j= 33, i=146 | Poisson
Now: j= 33, i=147 | Poisson
Now: j= 33, i=148 | Poisson
Now: j= 33, i=149 | Poisson
Now: j= 33, i=150 | Poisson
Now: j= 33, i=151 | Poisson
Now: j= 33, i=152 | Poisson
Now: j= 33, i=153 | Poisson
Now: j= 33, i=154 | Poisson
Now: j= 33, i=155 | Poisson
Now: j= 33, i=156 | Poisson
Now: j= 33, i=157 | Poisson
Now: j= 33, i=158 | Poisson
Now: j= 33, i=159 | Poisson
Now: j= 33, i=160 | Poisson
Now: j= 33, i=161 | Poisson
Now: j= 33, i=162 | Poisson
Now: j= 33, i=163 | Poisson
Now: j= 33, i=164 | Poisson
Now: j= 33, i=165 | Poisson
Now: j= 33, i=166 | Poisson
Now: j= 33, i=167 | Poisson
Now: j= 33, i=168 | Poisson
Now: j= 33, i=169 | Poisson
Now: j= 33, i=170 | Poisson
Now: j= 33, i=171 | Poisson
Now: j= 33, i=172 | Poisson
Now: j= 33, i=173 | Poisson
Now: j= 33, i=174 | Poisson
Now: j= 33, i=175 | Poisson
Now: j= 33, i=176 | Poisson
Now: j= 33, i=177 | Poisson
Now: j= 33, i=178 | Poisson
Now: j= 33, i=179 | Poisson
Now: j= 33, i=180 | Poisson
Now: j= 33, i=181 | Poisson
Now: j= 33, i=182 | Poisson
Now: j= 33, i=183 | Poisson
Now: j= 33, i=184 | Poisson
Now: j= 33, i=185 | Poisson
